date;color;led
2019-03-23 18:15:07:90;198;0
2019-03-23 18:15:07:144;198;0
2019-03-23 18:15:07:192;198;0
2019-03-23 18:15:07:241;198;0
2019-03-23 18:15:07:292;198;0
2019-03-23 18:15:07:342;198;0
2019-03-23 18:15:07:390;198;0
2019-03-23 18:15:07:441;198;0
2019-03-23 18:15:07:495;198;0
2019-03-23 18:15:07:540;198;0
2019-03-23 18:15:07:591;198;0
2019-03-23 18:15:07:645;198;0
2019-03-23 18:15:07:692;198;0
2019-03-23 18:15:07:744;198;0
2019-03-23 18:15:07:793;198;0
2019-03-23 18:15:07:840;198;0
2019-03-23 18:15:07:894;198;0
2019-03-23 18:15:07:947;198;0
2019-03-23 18:15:07:992;198;0
2019-03-23 18:15:08:58;198;0
2019-03-23 18:15:08:88;198;0
2019-03-23 18:15:08:136;198;0
2019-03-23 18:15:08:190;198;0
2019-03-23 18:15:08:240;198;0
2019-03-23 18:15:08:291;198;0
2019-03-23 18:15:08:339;198;0
2019-03-23 18:15:08:434;198;0
2019-03-23 18:15:08:440;198;0
2019-03-23 18:15:08:491;198;0
